Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1,CA-2015-353056,31/12/2015,06/01/2016,First Class,CC-71280,Customer CC-71280,Corporate,United States,Seattle,Pennsylvania,20691,East,TEC-MA-29720335,Technology,Machines,Machines Item 71,229.29
2,CA-2016-166810,08/09/2016,09/09/2016,First Class,DD-48827,Customer DD-48827,Home Office,United States,New York City,Illinois,30422,South,OFF-LA-62004218,Office Supplies,Labels,Labels Item 100,73.81
3,CA-2018-148954,23/12/2018,25/12/2018,Same Day,BB-23906,Customer BB-23906,Consumer,United States,Philadelphia,Pennsylvania,86191,Central,OFF-LA-40835317,Office Supplies,Labels,Labels Item 46,128.27
4,CA-2018-696552,11/06/2018,13/06/2018,Standard Class,BB-69335,Customer BB-69335,Corporate,United States,Los Angeles,Illinois,28479,East,TEC-MA-98917023,Technology,Machines,Machines Item 47,1132.14
5,CA-2015-252893,20/12/2015,22/12/2015,Second Class,BB-22010,Customer BB-22010,Home Office,United States,Los Angeles,Washington,99956,South,TEC-PH-21925094,Technology,Phones,Phones Item 26,1215.5
6,CA-2017-341016,14/05/2017,15/05/2017,First Class,CC-33566,Customer CC-33566,Consumer,United States,San Francisco,New York,31347,West,FUR-CH-97093249,Furniture,Chairs,Chairs Item 90,189.51
7,CA-2016-920458,09/12/2016,10/12/2016,First Class,DD-84387,Customer DD-84387,Home Office,United States,Houston,New York,93231,Central,FUR-TA-63519976,Furniture,Tables,Tables Item 61,728.0
8,CA-2016-605639,28/06/2016,04/07/2016,Same Day,CC-94732,Customer CC-94732,Corporate,United States,New York City,California,81782,Central,FUR-FU-32124733,Furniture,Furnishings,Furnishings Item 49,93.64
9,CA-2015-733511,21/05/2015,23/05/2015,Standard Class,DD-45835,Customer DD-45835,Corporate,United States,San Francisco,New York,93710,Central,OFF-FA-27724741,Office Supplies,Fasteners,Fasteners Item 1,115.5
10,CA-2017-404711,08/03/2017,11/03/2017,Second Class,CC-30571,Customer CC-30571,Consumer,United States,Houston,California,45024,Central,OFF-AP-91979675,Office Supplies,Appliances,Appliances Item 96,114.07
11,CA-2017-952994,09/01/2017,15/01/2017,First Class,CC-78491,Customer CC-78491,Consumer,United States,New York City,Pennsylvania,18526,East,FUR-FU-77513817,Furniture,Furnishings,Furnishings Item 93,737.84
12,CA-2015-482982,29/10/2015,30/10/2015,Second Class,DD-32159,Customer DD-32159,Home Office,United States,New York City,New York,19895,West,OFF-PA-32224155,Office Supplies,Paper,Paper Item 72,124.22
13,CA-2016-745962,17/08/2016,20/08/2016,First Class,BB-90727,Customer BB-90727,Home Office,United States,Philadelphia,Washington,45608,West,OFF-AR-22112690,Office Supplies,Art,Art Item 29,154.27
14,CA-2017-279002,22/07/2017,25/07/2017,Standard Class,DD-32100,Customer DD-32100,Home Office,United States,Chicago,Washington,10778,Central,OFF-BI-26659845,Office Supplies,Binders,Binders Item 93,109.84
15,CA-2015-408653,01/11/2015,05/11/2015,Same Day,CC-92403,Customer CC-92403,Consumer,United States,Houston,New York,97976,East,OFF-AP-46296955,Office Supplies,Appliances,Appliances Item 95,137.64
16,CA-2016-155790,24/03/2016,25/03/2016,First Class,BB-15778,Customer BB-15778,Corporate,United States,San Francisco,Illinois,67217,South,FUR-CH-96772294,Furniture,Chairs,Chairs Item 15,429.02
17,CA-2015-239207,06/10/2015,12/10/2015,Second Class,AA-88332,Customer AA-88332,Corporate,United States,Houston,Illinois,89868,West,TEC-CO-81728829,Technology,Copiers,Copiers Item 60,828.57
18,CA-2016-383856,20/02/2016,21/02/2016,First Class,DD-11733,Customer DD-11733,Corporate,United States,Seattle,Washington,83494,West,TEC-AC-18350825,Technology,Accessories,Accessories Item 99,716.38
19,CA-2018-134574,25/04/2018,28/04/2018,Second Class,DD-78584,Customer DD-78584,Home Office,United States,San Francisco,New York,69414,East,OFF-BI-51425358,Office Supplies,Binders,Binders Item 49,209.35
20,CA-2015-940627,08/12/2015,11/12/2015,Second Class,DD-70874,Customer DD-70874,Corporate,United States,San Francisco,New York,95614,West,TEC-PH-56817153,Technology,Phones,Phones Item 57,417.84
21,CA-2018-955133,24/02/2018,26/02/2018,Same Day,BB-66578,Customer BB-66578,Consumer,United States,Philadelphia,Pennsylvania,51832,West,OFF-AP-81479190,Office Supplies,Appliances,Appliances Item 72,146.79
22,CA-2016-609504,07/04/2016,10/04/2016,Second Class,BB-26858,Customer BB-26858,Home Office,United States,Houston,California,56857,East,OFF-BI-81067104,Office Supplies,Binders,Binders Item 27,69.89
23,CA-2017-102058,07/10/2017,12/10/2017,First Class,CC-20711,Customer CC-20711,Home Office,United States,Philadelphia,Illinois,64116,East,OFF-AP-60509610,Office Supplies,Appliances,Appliances Item 90,22.05
24,CA-2017-376839,16/01/2017,21/01/2017,First Class,DD-20184,Customer DD-20184,Corporate,United States,Seattle,New York,45959,East,TEC-CO-26784591,Technology,Copiers,Copiers Item 19,1977.54
25,CA-2015-337101,20/08/2015,25/08/2015,Second Class,DD-75787,Customer DD-75787,Home Office,United States,Los Angeles,Illinois,94148,West,FUR-TA-93583864,Furniture,Tables,Tables Item 68,84.66
26,CA-2015-278527,21/06/2015,23/06/2015,Same Day,DD-89723,Customer DD-89723,Home Office,United States,Seattle,New York,15232,West,OFF-BI-16018812,Office Supplies,Binders,Binders Item 29,127.45
27,CA-2017-590774,16/12/2017,20/12/2017,Same Day,CC-75205,Customer CC-75205,Corporate,United States,New York City,Pennsylvania,19249,Central,TEC-MA-91368262,Technology,Machines,Machines Item 29,266.73
